title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 11,radio,F1 Bab 11,A,B,C,D,B,Galus/Picture61.png
,radio,F1 Bab 11,A,B,C,D,C,Galus/Picture62.png
,radio,F1 Bab 11,A,B,C,D,C,Galus/Picture63.png
,radio,F1 Bab 11,A,B,C,D,B,Galus/Picture64.png
,radio,F1 Bab 11,A,B,C,D,B,Galus/Picture65.png
,radio,F1 Bab 11,A,B,C,D,A ,Galus/Picture66.png
,radio,F1 Bab 11,A,B,C,D,C,Galus/Picture67.png
,radio,F1 Bab 11,A,B,C,D,C,Galus/Picture68.png
,radio,F1 Bab 11,A,B,C,D,C,Galus/Picture69.png
,radio,F1 Bab 11,A,B,C,D,A,Galus/Picture70.png
