title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 13,radio,F1 Bab 13,A,B,C,D,A,Galus/Picture81.png
,radio,F1 Bab 13,A,B,C,D,C,Galus/Picture82.png
,radio,F1 Bab 13,A,B,C,D,B,Galus/Picture83.png
,radio,F1 Bab 13,A,B,C,D,C,Galus/Picture84.png
,radio,F1 Bab 13,A,B,C,D,A,Galus/Picture85.png
,radio,F1 Bab 13,A,B,C,D,D,Galus/Picture86.png
,radio,F1 Bab 13,A,B,C,D,B,Galus/Picture87.png
,radio,F1 Bab 13,A,B,C,D,A,Galus/Picture88.png
,radio,F1 Bab 13,A,B,C,D,C,Galus/Picture89.png
,radio,F1 Bab 13,A,B,C,D,A,Galus/Picture90.png
