title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 10,radio,F1 Bab 10,A,B,C,D,C,Galus/Picture51.png
,radio,F1 Bab 10,A,B,C,D,D,Galus/Picture52.png
,radio,F1 Bab 10,A,B,C,D,C,Galus/Picture53.png
,radio,F1 Bab 10,A,B,C,D,A,Galus/Picture54.png
,radio,F1 Bab 10,A,B,C,D,A,Galus/Picture55.png
,radio,F1 Bab 10,A,B,C,D,B,Galus/Picture56.png
,radio,F1 Bab 10,A,B,C,D,C,Galus/Picture57.png
,radio,F1 Bab 10,A,B,C,D,D,Galus/Picture58.png
,radio,F1 Bab 10,A,B,C,D,D,Galus/Picture59.png
,radio,F1 Bab 10,A,B,C,D,B,Galus/Picture60.png
