title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 7,radio,F1 Bab 7,A,B,C,D,A,Galus/Picture21.png
,radio,F1 Bab 7,A,B,C,D,D,Galus/Picture22.png
,radio,F1 Bab 7,A,B,C,D,C,Galus/Picture23.png
,radio,F1 Bab 7,A,B,C,D,D,Galus/Picture24.png
,radio,F1 Bab 7,A,B,C,D,B,Galus/Picture25.png
,radio,F1 Bab 7,A,B,C,D,A,Galus/Picture26.png
,radio,F1 Bab 7,A,B,C,D,B,Galus/Picture27.png
,radio,F1 Bab 7,A,B,C,D,A,Galus/Picture28.png
,radio,F1 Bab 7,A,B,C,D,A,Galus/Picture29.png
,radio,F1 Bab 7,A,B,C,D,D,Galus/Picture30.png
