title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 6,radio,F1 Bab 6,A,B,C,D,C,Galus/Picture11.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture12.png
,radio,F1 Bab 6,A,B,C,D,B,Galus/Picture13.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture14.png
,radio,F1 Bab 6,A,B,C,D,C,Galus/Picture15.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture16.png
,radio,F1 Bab 6,A,B,C,D,B,Galus/Picture17.png
,radio,F1 Bab 6,A,B,C,D,C,Galus/Picture18.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture19.png
,radio,F1 Bab 6,A,B,C,D,B,Galus/Picture20.png
