title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 9,radio,F1 Bab 9,A,B,C,D,C,Galus/Picture41.png
,radio,F1 Bab 9,A,B,C,D,A,Galus/Picture42.png
,radio,F1 Bab 9,A,B,C,D,C,Galus/Picture43.png
,radio,F1 Bab 9,A,B,C,D,B,Galus/Picture44.png
,radio,F1 Bab 9,A,B,C,D,B,Galus/Picture45.png
,radio,F1 Bab 9,A,B,C,D,D,Galus/Picture46.png
,radio,F1 Bab 9,A,B,C,D,C,Galus/Picture47.png
,radio,F1 Bab 9,A,B,C,D,B,Galus/Picture48.png
,radio,F1 Bab 9,A,B,C,D,C,Galus/Picture49.png
,radio,F1 Bab 9,A,B,C,D,B,Galus/Picture50.png
