title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 5,radio,F1 Bab 5,A,B,C,D,C,Galus/Picture1.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture2.png
,radio,F1 Bab 5,A,B,C,D,A,Galus/Picture3.png
,radio,F1 Bab 5,A,B,C,D,B,Galus/Picture4.png
,radio,F1 Bab 5,A,B,C,D,C,Galus/Picture5.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture6.png
,radio,F1 Bab 5,A,B,C,D,C,Galus/Picture7.png
,radio,F1 Bab 5,A,B,C,D,A,Galus/Picture8.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture9.png
,radio,F1 Bab 5,A,B,C,D,B,Galus/Picture10.png
