title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T1 Bab 12,radio,F1 Bab 12,A,B,C,D,B,Galus/Picture71.png
,radio,F1 Bab 12,A,B,C,D,A,Galus/Picture72.png
,radio,F1 Bab 12,A,B,C,D,A,Galus/Picture73.png
,radio,F1 Bab 12,A,B,C,D,D,Galus/Picture74.png
,radio,F1 Bab 12,A,B,C,D,D,Galus/Picture75.png
,radio,F1 Bab 12,A,B,C,D,B,Galus/Picture76.png
,radio,F1 Bab 12,A,B,C,D,A,Galus/Picture77.png
,radio,F1 Bab 12,A,B,C,D,C,Galus/Picture78.png
,radio,F1 Bab 12,A,B,C,D,C,Galus/Picture79.png
,radio,F1 Bab 12,A,B,C,D,C,Galus/Picture80.png
